cleaned_tweet_text,hashtags,emails
coachella tickets selling less  minutes ________________,['#Coachella2015'],[]
rt  wait absolute fire ___ coachella,['#Coachella2015'],[]
coachella vip passes secured see bitchesssss,"['#Coachella2015', '#VIP']",[]
phillys play coachella amp govball watch jimmy fallon,"['#Coachella2015', '#GovBall2015']",[]
briana mom coachella im  ____,['#Coachella2015'],[]
west side best side west coas coachella,"['#west', '#coas', '#Coachella2015']",[]
coachella tickets sold __ amp opportunity bought them definitely going next year coachella coachella,"['#Coachella2015', '#Coachella']",[]
coachella absolutely wait weekend exceed epic expectations  lineup crazy,['#Coachella2015'],[]
someone got coachella friend life truth desprate coachella coachella,"['#truth', '#desprate', '#Coachella2015', '#Coachella']",[]
rt   coachella  coachella  makes space rockers ravers year coachella oh_,['#Coachella2015'],[]
rt  dig guys much cant wait see coachella two dudes creating incredible sounds ht_,['#Coachella2015'],[]
 officially official coachella please someone get coachella year wanna go,['#Coachella2015'],[]
see there coachella twiterlessnikki,"['#Coachella2015', '#TwiterlessNikki']",[]
son im really trynna go coachella,['#Coachella2015'],[]
want go coachella ___,['#Coachella2015'],[]
got tickets coachella x it __________________,['#Coachella2015'],[]
cant wait coachella year first time ever goin chyyeah coachella _,"['#Coachella', '#Coachella2015']",[]
bought coachella tickets minh do could already tell  gonna amazing,['#Coachella2015'],[]
rt  someone sell one car camping pass coachella weekend  please coachella coachella coachellatickets,"['#Coachella', '#Coachella2015', '#Coachellatickets']",[]
april cant come sooner ______ coachella,['#Coachella2015'],[]
woot woot coachella ____,['#Coachella2015'],[]
coachella whats fuss acdc heading lineup leonard cohen blew everyone away couple years back great,['#coachella2015'],[]
rt  hope see coachella coachella,['#Coachella2015'],[]
prayer coachella gods coachella coachellatickets someone sell weekend  face value please car camping too amen,"['#Coachella', '#Coachella2015', '#Coachellatickets']",[]
see ready coachella coachellanick,"['#Coachella2015', '#coachellaNICK']",[]
young drochella  coachella coachella,"['#Coachella', '#Coachella2015']",[]
got tickets coachella stoked fuck,['#Coachella2015'],[]
cant wait and shook night long coachella,['#Coachella2015'],[]
happy announce twins tickets coachella,['#Coachella2015'],[]
super pumped acdc steely dan kickinitoldschoool coachella,"['#kickinitoldschoool', '#Coachella2015']",[]
got news going coachella,['#Coachella2015'],[]
lol nvm ya bish going coachella hallelujah,"['#COACHELLA2015', '#HALLELUJAH']",[]
got coachella ticket much better make you kingofthewhitepeople,"['#Coachella2015', '#KingOfTheWhitePeople']",[]
got casual text dad asking simple question w emoji what weekend thinking _ coachella _,['#Coachella2015åÀåÀåÀ'],[]
find coachella  months getting ready find celebrities coachella __,['#Coachella2015'],[]
official coachella ______,['#Coachella2015'],[]
realized work coachella weekend  totally going,"['#Coachella2015', '#2']",[]
 coachella tickets need place camp bc tickets sold out help us ____ plzzz,['#Coachella2015'],[]
rt  coachella lineup colorful honest via,['#Coachella2015'],[]
coachella tickets need place camp bc tickets sold out help us ____,['#Coachella2015'],[]
rt  psyched coachella _,['#Coachella2015'],[]
rt  see dessert  coachella roundthree excited itsallhappening,"['#Coachella2015', '#RoundThree', '#Excited', '#ItsAllHappening']",[]
cant wait coachella ___,['#Coachella2015'],[]
coachella lineup colorful honest via,['#Coachella2015'],[]
need go coachella,['#Coachella2015'],[]
someone sell one car camping pass coachella weekend  please coachella coachella coachellatickets,"['#Coachella', '#Coachella2015', '#Coachellatickets']",[]
wanna jinx instagram agreement coachella trade  coachella instatrade,"['#coachella2015', '#instatrade']",[]
girl going coachella _,['#Coachella2015'],[]
rt  latest coachella lineup poppin,['#Coachella2015'],[]
putting plans go see boo coachella,['#Coachella2015'],[]
rt  see  days coachella,['#Coachella2015'],[]
got weekend  pass coachella pumped marking music festival my_,"['#coachella2015', '#music']",[]
still trying find tickets coachella hmu selling,['#Coachella2015'],[]
quoted storify story coachella tickets sold out,"['#Storify', '#Coachella2015']",[]
anyone extra car camping ticket hit up group needs one coachella coachella coachellatickets,"['#Coachella', '#Coachella2015', '#Coachellatickets']",[]
rt  coachella lineup arrived  acts must see years festival,['#Coachella2015'],[]
rt  mileys getting ready coachella bleach blonde ___,['#Coachella2015'],[]
rt  looking buy weekend one pass coachella coachella,"['#coachella', '#Coachella2015']",[]
regret buying edclv tickets want go coachella bad ______ wants two edc tickets insomniac coachella ____,"['#EDCLV', '#insomniac', '#Coachella2015']",[]
weekend  baby coachella wk ,"['#Coachella2015', '#wk2']",[]
coachella week two yaaaaassssssss __________,['#Coachella2015'],[]
see dessert  coachella roundthree excited itsallhappening,"['#Coachella2015', '#RoundThree', '#Excited', '#ItsAllHappening']",[]
rt  guess gonna wiggle wiggle coachella coachella coachella kpop hellovenus,"['#Coachella2015', '#Coachella', '#kpop', '#hellovenus']",[]
see yall coachella _ coachella,['#Coachella2015'],[]
rt  soon ____ coachella,['#Coachella2015'],[]
two words never want seecoachella,['#Coachella2015'],[]
rt  yeah im looking weekend  coachella ticket please rt help find one thanks coachella coachellaforsa_,"['#Coachella2015', '#coachellaforsa']",[]
looking two ga coachella coachella tickets  car camping crychellak,"['#Coachella', '#Coachella2015', '#crychella2k15']",[]
coachella actually happening_,['#Coachella2015'],[]
rt  okay fixed fifthharmony coachella coachella,"['#FifthHarmony', '#Coachella', '#Coachella2015']",[]
rt  looking coachella passes someone savior please,['#coachella2015'],[]
