cleaned_tweet_text,hashtags,emails
coachella tickets selling less  minutes ________________ httptcosmoxyteimj,['#Coachella2015'],[]
rt  wait absolute fire ___ coachella httptcoovecjtavr,['#Coachella2015'],['@sudsybuddy:']
coachella vip passes secured see bitchesssss,"['#Coachella2015', '#VIP']",[]
phillys play coachella amp govball watch jimmy fallon httptcowzaaewynt httptcosflisd,"['#Coachella2015', '#GovBall2015']",['@warondrugsjams']
briana mom coachella im  ____,['#Coachella2015'],[]
west side best side west coas coachella httptcobhasnazmmu,"['#west', '#coas', '#Coachella2015']",[]
coachella tickets sold __ amp opportunity bought them definitely going next year coachella coachella,"['#Coachella2015', '#Coachella']",[]
coachella absolutely wait weekend exceed epic expectations  lineup crazy httptcocqxkcprlh,['#Coachella2015'],[]
someone got coachella friend life truth desprate coachella coachella httptcommdktmozfw,"['#truth', '#desprate', '#Coachella2015', '#Coachella']",[]
rt  httptcomxcrevilgp  coachella  coachella  makes space rockers ravers year coachella oh_,['#Coachella2015'],['@brownjenjen:']
rt  dig guys much cant wait see coachella two dudes creating incredible sounds ht_,['#Coachella2015'],"['@RogerCraigSmith:', '@royalblooduk']"
 officially official coachella httptcocwbxjbn please someone get coachella year wanna go,['#Coachella2015'],['\x89ÛÏ@NickDevLV:']
see there coachella twiterlessnikki,"['#Coachella2015', '#TwiterlessNikki']","['@IDK_Chillin', '@gina__elizabeth', '@#TwiterlessNikki']"
son im really trynna go coachella,['#Coachella2015'],[]
want go coachella ___,['#Coachella2015'],[]
got tickets coachella x it __________________,['#Coachella2015'],[]
cant wait coachella year first time ever goin chyyeah coachella _,"['#Coachella', '#Coachella2015']",[]
bought coachella tickets minh do could already tell  gonna amazing,['#Coachella2015'],['@aylephant']
rt  someone sell one car camping pass coachella weekend  please coachella coachella coachellatickets,"['#Coachella', '#Coachella2015', '#Coachellatickets']",['@EricHoang_:']
april cant come sooner ______ coachella,['#Coachella2015'],[]
woot woot coachella ____,['#Coachella2015'],[]
coachella whats fuss acdc heading lineup leonard cohen blew everyone away couple years back great,['#coachella2015'],[]
rt  hope see coachella coachella,['#Coachella2015'],"['@TeamCamillaB:', '@CamillaBelle']"
prayer coachella gods coachella coachellatickets someone sell weekend  face value please car camping too amen,"['#Coachella', '#Coachella2015', '#Coachellatickets']",[]
see ready coachella coachellanick,"['#Coachella2015', '#coachellaNICK']",['@nlapi']
young drochella  coachella coachella httptcoxtimlrjsh,"['#Coachella', '#Coachella2015']",[]
got tickets coachella stoked fuck,['#Coachella2015'],[]
cant wait and shook night long coachella,['#Coachella2015'],[]
happy announce twins tickets coachella httptcomiytqiff,['#Coachella2015'],['@NicolaBott']
super pumped acdc steely dan kickinitoldschoool coachella,"['#kickinitoldschoool', '#Coachella2015']",[]
got news going coachella,['#Coachella2015'],[]
lol nvm ya bish going coachella hallelujah httptcokcltkfhiin,"['#COACHELLA2015', '#HALLELUJAH']",[]
got coachella ticket much better make you kingofthewhitepeople,"['#Coachella2015', '#KingOfTheWhitePeople']",[]
got casual text dad asking simple question w emoji what weekend thinking _ coachella _,['#Coachella2015åÀåÀåÀ'],['@maderlife']
find coachella  months getting ready find celebrities coachella __,['#Coachella2015'],[]
official coachella ______,['#Coachella2015'],['@nycbritt']
realized work coachella weekend  totally going,"['#Coachella2015', '#2']",[]
 coachella tickets need place camp bc tickets sold out help us ____ plzzz,['#Coachella2015'],"['\x89ÛÏ@czechmayte:', '@Leetzle_']"
rt  coachella lineup colorful honest httptcovvhqlmwzwu via,['#Coachella2015'],"['@_kendallwood:', '@CTooleSaysStuff', '@EliteDaily']"
coachella tickets need place camp bc tickets sold out help us ____,['#Coachella2015'],['@Leetzle_']
rt  psyched coachella _,['#Coachella2015'],"['@sierralkbabe:', '@HannahhRay']"
rt  see dessert  coachella roundthree excited itsallhappening,"['#Coachella2015', '#RoundThree', '#Excited', '#ItsAllHappening']","['@Jammit08:', '@Kyra_IX', '@sammyslammr']"
cant wait coachella ___,['#Coachella2015'],[]
coachella lineup colorful honest httptcovvhqlmwzwu via,['#Coachella2015'],"['@CTooleSaysStuff', '@EliteDaily']"
need go coachella,['#Coachella2015'],[]
someone sell one car camping pass coachella weekend  please coachella coachella coachellatickets,"['#Coachella', '#Coachella2015', '#Coachellatickets']",[]
wanna jinx instagram agreement coachella trade  coachella instatrade,"['#coachella2015', '#instatrade']",[]
girl going coachella _,['#Coachella2015'],[]
rt  latest coachella lineup poppin httptcohsqsggoomc httptcoybibpxnsdm,['#Coachella2015'],['@MaxG718:']
putting plans go see boo coachella,['#Coachella2015'],['@Drake']
