,coachella_sentiment,coachella_yn,name,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone,hashtags
0,positive,yes,kokombil,0,#Coachella2015 tickets selling out in less than 40 minutes _Ù_¦_Ù___Ù___Ù÷_ÙÎµ_ÙÎµ_Ù___Ù_¦ http://t.co/SmoXyteIMJ,"[0.0, 0.0]",1/7/15 15:02,5.52963e+17,,Quito,['#Coachella2015']
1,positive,yes,MisssTaraaa10,2,RT @sudsybuddy: WAIT THIS IS ABSOLUTE FIRE _ÙÓ´_ÙÓ´_ÙÓ´ #Coachella2015 http://t.co/Ov2eCJtAvR,,1/7/15 15:02,5.52963e+17,united states,,['#Coachella2015']
2,positive,yes,NMcCracken805,0,#Coachella2015 #VIP passes secured! See you there bitchesssss,,1/7/15 15:01,5.52963e+17,"Costa Mesa, CA",,"['#Coachella2015', '#VIP']"
3,positive,yes,wxpnfm,1,PhillyÛªs @warondrugsjams will play #Coachella2015 &amp; #GovBall2015! Watch them on Jimmy Fallon: http://t.co/wzaAE5wYNT http://t.co/sFL9I5sD20,,1/7/15 15:01,5.52963e+17,"Philadelphia, PA and Worldwide",Quito,"['#Coachella2015', '#GovBall2015']"
4,positive,yes,Caesears,0,If briana and her mom out to #Coachella2015  im out with them !!! _Ù÷Ý_Ù÷Ý_Ù÷Ý_ÙÕÄ,,1/7/15 15:00,5.52963e+17,,,['#Coachella2015']
5,positive,yes,donbosco_6,0,"West side is the best side!
#west #coas #Coachella2015 http://t.co/BhasNazMMU",,1/7/15 14:58,5.52963e+17,Cuenca Ecuador,Eastern Time (US & Canada),"['#west', '#coas', '#Coachella2015']"
6,positive,yes,__Mia630_,0,Coachella tickets are now sold out _Ù÷_ &amp; I had the opportunity to have bought them. I'm definitely going next year #Coachella2015 #Coachella,,1/7/15 14:58,5.52963e+17,CA. USA,Pacific Time (US & Canada),"['#Coachella2015', '#Coachella']"
7,positive,yes,OlgaKhmylev,0,#Coachella2015 I absolutely can NOT wait. This weekend is about to exceed EPIC EXPECTATIONS!!! :) Lineup is CRAZY!  http://t.co/7CQXKCprLH,,1/7/15 14:57,5.52962e+17,Buffalo//Moscow//Boston ,Eastern Time (US & Canada),['#Coachella2015']
8,positive,yes,Ben_BigB_Davies,0,If someone got me to Coachella if be your friend for life #truth #desprate #Coachella2015 #Coachella http://t.co/MMDkTMOZfW,,1/7/15 14:54,5.52962e+17,The mighty bridgend !,,"['#truth', '#desprate', '#Coachella2015', '#Coachella']"
9,positive,yes,brevamo,83,RT @brownjenjen:  Õ http://t.co/mxCREvIlGP 712 Coachella 2015  Coachella 2015 makes space for rockers and ravers this year #Coachella2015 OhÛ_,,1/7/15 14:50,5.52961e+17,Utah,Pacific Time (US & Canada),['#Coachella2015']
10,positive,yes,samhughes88,2,"RT @RogerCraigSmith: Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
htÛ_",,1/7/15 14:50,5.5296e+17,"Cheshire, UK ",London,['#Coachella2015']
11,positive,yes,kathy009,0,"ÛÏ@NickDevLV: Officially official. #Coachella2015 http://t.co/cWBx8jb2n7Û
Please someone get me to Coachella this year, so wanna go",,1/7/15 14:48,5.5296e+17,England,,['#Coachella2015']
12,positive,yes,McBased,0,See you there! #Coachella2015 @IDK_Chillin @gina__elizabeth @#TwiterlessNikki,,1/7/15 14:47,5.5296e+17,HTX-CCTX,Eastern Time (US & Canada),"['#Coachella2015', '#TwiterlessNikki']"
13,positive,yes,TheExperiencexX,0,Son im really trynna go to #Coachella2015,,1/7/15 14:41,5.52958e+17,,Pacific Time (US & Canada),['#Coachella2015']
14,positive,yes,lindsayjfig,0,I just want to go to #Coachella2015 _Ù÷Ç_Ù_Á,,1/7/15 14:35,5.52957e+17,,Mountain Time (US & Canada),['#Coachella2015']
15,positive,yes,carleystenson,1,So we got tickets to #Coachella2015 x what is it!? _Ù÷_Ù÷ _Ù_¦_Ù___Ù_á_Ù_¼_Ù_ü_Ù___Ù_µ,,1/7/15 14:34,5.52956e+17,,,['#Coachella2015']
16,positive,yes,KROCSTEDY,0,Can't wait until #Coachella this year. This will be my first time ever goin. Chyyeah!!! #Coachella2015 _ÙªÎ,,1/7/15 14:30,5.52955e+17,"From Long Beach, CA & beyond..",Alaska,"['#Coachella', '#Coachella2015']"
17,positive,yes,edasemana,0,Just bought my #Coachella2015 tickets with @aylephant and Minh Do! I could already tell that 2015 is gonna be amazing!,"[37.4365235, -121.8783382]",1/7/15 14:30,5.52955e+17,California ,,['#Coachella2015']
18,positive,yes,happiiiiiiiii,1,"RT @EricHoang_: Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",,1/7/15 14:30,5.52955e+17,,,"['#Coachella', '#Coachella2015', '#Coachellatickets']"
19,positive,yes,fucknambriz,0,"April can't come any sooner _Ù÷__Ù÷__Ù÷_ 

#Coachella2015","[33.83198733, -117.95680471]",1/7/15 14:29,5.52955e+17,Anaheim CA,Pacific Time (US & Canada),['#Coachella2015']
20,positive,yes,LuisaInStereo,0,Woot woot! #Coachella2015 _Ù_ä_Ù_ä,,1/7/15 14:28,5.52955e+17,,Pacific Time (US & Canada),['#Coachella2015']
21,positive,yes,GregWRoss,0,"#coachella2015  What's the fuss about AC/DC heading the line-up? Leonard Cohen blew everyone away there a couple of years back, both great!",,1/7/15 14:26,5.52955e+17,Burswood,Perth,['#coachella2015']
22,positive,yes,Hey_Julee,1,RT @TeamCamillaB: Hope to see @CamillaBelle in Coachella #Coachella2015!,,1/7/15 14:26,5.52954e+17,,Central Time (US & Canada),['#Coachella2015']
23,positive,yes,rgrocks,0,Prayer to #Coachella gods for #Coachella2015 #Coachellatickets someone sell me weekend 1 for face value please. Car camping too! Amen,,1/7/15 14:25,5.52954e+17,San Francisco,Pacific Time (US & Canada),"['#Coachella', '#Coachella2015', '#Coachellatickets']"
24,positive,yes,_SydArmstrong,0,I see @nlapi is ready for #Coachella2015 #coachellaNICK,,1/7/15 14:23,5.52954e+17,Los Angeles,Central Time (US & Canada),"['#Coachella2015', '#coachellaNICK']"
25,positive,yes,pascalpellan,0,Young DroCHELLA | #Coachella #Coachella2015 http://t.co/X0tIMlrjSH,,1/7/15 14:22,5.52953e+17,Paris,Paris,"['#Coachella', '#Coachella2015']"
26,positive,yes,Wajohnston3Will,0,Got my tickets for #Coachella2015 stoked as fuck,,1/7/15 14:21,5.52953e+17,,,['#Coachella2015']
27,positive,yes,shermhasheart,0,"I can't wait for ""and you shook me all night long"" at #Coachella2015",,1/7/15 14:18,5.52952e+17,Bloomington,Quito,['#Coachella2015']
28,positive,yes,mickeyditch,0,So HAPPY to announce that me and @NicolaBott have twins!!!! (tickets) #Coachella2015 http://t.co/83miyTqiff,"[-33.87105558, 151.20334792]",1/7/15 14:17,5.52952e+17,Sydney,London,['#Coachella2015']
