coachella_sentiment,coachella_yn,name,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone,hashtags,emails,text_no_usernames,text_no_links,text_ascii,text_lower,text_no_stopwords,text_no_digits,text_no_specials
positive,yes,kokombil,0,#Coachella2015 tickets selling out in less than 40 minutes _Ù_¦_Ù___Ù___Ù÷_ÙÎµ_ÙÎµ_Ù___Ù_¦ http://t.co/SmoXyteIMJ,"[0.0, 0.0]",1/7/15 15:02,5.52963e+17,,Quito,['#Coachella2015'],[],#Coachella2015ticketssellingoutinlessthan40minutes_Ù_¦_Ù___Ù___Ù÷_ÙÎµ_ÙÎµ_Ù___Ù_¦http://t.co/SmoXyteIMJ,#Coachella2015ticketssellingoutinlessthan40minutes_Ù_¦_Ù___Ù___Ù÷_ÙÎµ_ÙÎµ_Ù___Ù_¦,#Coachella2015ticketssellingoutinlessthan40minutes________________,#coachella2015ticketssellingoutinlessthan40minutes________________,#coachella2015ticketssellingoutinlessthan40minutes________________,#coachellaticketssellingoutinlessthanminutes________________,coachellaticketssellingoutinlessthanminutes
positive,yes,MisssTaraaa10,2,RT @sudsybuddy: WAIT THIS IS ABSOLUTE FIRE _ÙÓ´_ÙÓ´_ÙÓ´ #Coachella2015 http://t.co/Ov2eCJtAvR,,1/7/15 15:02,5.52963e+17,united states,,['#Coachella2015'],[],RT:WAITTHISISABSOLUTEFIRE_ÙÓ´_ÙÓ´_ÙÓ´#Coachella2015http://t.co/Ov2eCJtAvR,RT:WAITTHISISABSOLUTEFIRE_ÙÓ´_ÙÓ´_ÙÓ´#Coachella2015,RT:WAITTHISISABSOLUTEFIRE___#Coachella2015,rt:waitthisisabsolutefire___#coachella2015,rt:waitthisisabsolutefire___#coachella2015,rt:waitthisisabsolutefire___#coachella,rtwaitthisisabsolutefirecoachella
positive,yes,NMcCracken805,0,#Coachella2015 #VIP passes secured! See you there bitchesssss,,1/7/15 15:01,5.52963e+17,"Costa Mesa, CA",,"['#Coachella2015', '#VIP']",[],#Coachella2015#VIPpassessecured!Seeyoutherebitchesssss,#Coachella2015#VIPpassessecured!Seeyoutherebitchesssss,#Coachella2015#VIPpassessecured!Seeyoutherebitchesssss,#coachella2015#vippassessecured!seeyoutherebitchesssss,#coachella2015#vippassessecured!seeyoutherebitchesssss,#coachella#vippassessecured!seeyoutherebitchesssss,coachellavippassessecuredseeyoutherebitchesssss
positive,yes,wxpnfm,1,PhillyÛªs @warondrugsjams will play #Coachella2015 &amp; #GovBall2015! Watch them on Jimmy Fallon: http://t.co/wzaAE5wYNT http://t.co/sFL9I5sD20,,1/7/15 15:01,5.52963e+17,"Philadelphia, PA and Worldwide",Quito,"['#Coachella2015', '#GovBall2015']",[],PhillyÛªswillplay#Coachella2015&amp;#GovBall2015!WatchthemonJimmyFallon:http://t.co/wzaAE5wYNThttp://t.co/sFL9I5sD20,PhillyÛªswillplay#Coachella2015&amp;#GovBall2015!WatchthemonJimmyFallon:,Phillyswillplay#Coachella2015&amp;#GovBall2015!WatchthemonJimmyFallon:,phillyswillplay#coachella2015&amp;#govball2015!watchthemonjimmyfallon:,phillyswillplay#coachella2015&amp;#govball2015!watchthemonjimmyfallon:,phillyswillplay#coachella&amp;#govball!watchthemonjimmyfallon:,phillyswillplaycoachellaampgovballwatchthemonjimmyfallon
positive,yes,Caesears,0,If briana and her mom out to #Coachella2015  im out with them !!! _Ù÷Ý_Ù÷Ý_Ù÷Ý_ÙÕÄ,,1/7/15 15:00,5.52963e+17,,,['#Coachella2015'],[],Ifbrianaandhermomoutto#Coachella2015imoutwiththem!!!_Ù÷Ý_Ù÷Ý_Ù÷Ý_ÙÕÄ,Ifbrianaandhermomoutto#Coachella2015imoutwiththem!!!_Ù÷Ý_Ù÷Ý_Ù÷Ý_ÙÕÄ,Ifbrianaandhermomoutto#Coachella2015imoutwiththem!!!____,ifbrianaandhermomoutto#coachella2015imoutwiththem!!!____,ifbrianaandhermomoutto#coachella2015imoutwiththem!!!____,ifbrianaandhermomoutto#coachellaimoutwiththem!!!____,ifbrianaandhermomouttocoachellaimoutwiththem
positive,yes,donbosco_6,0,"West side is the best side!
#west #coas #Coachella2015 http://t.co/BhasNazMMU",,1/7/15 14:58,5.52963e+17,Cuenca Ecuador,Eastern Time (US & Canada),"['#west', '#coas', '#Coachella2015']",[],Westsideisthebestside!#west#coas#Coachella2015http://t.co/BhasNazMMU,Westsideisthebestside!#west#coas#Coachella2015,Westsideisthebestside!#west#coas#Coachella2015,westsideisthebestside!#west#coas#coachella2015,westsideisthebestside!#west#coas#coachella2015,westsideisthebestside!#west#coas#coachella,westsideisthebestsidewestcoascoachella
positive,yes,__Mia630_,0,Coachella tickets are now sold out _Ù÷_ &amp; I had the opportunity to have bought them. I'm definitely going next year #Coachella2015 #Coachella,,1/7/15 14:58,5.52963e+17,CA. USA,Pacific Time (US & Canada),"['#Coachella2015', '#Coachella']",[],Coachellaticketsarenowsoldout_Ù÷_&amp;Ihadtheopportunitytohaveboughtthem.I'mdefinitelygoingnextyear#Coachella2015#Coachella,Coachellaticketsarenowsoldout_Ù÷_&amp;Ihadtheopportunitytohaveboughtthem.I'mdefinitelygoingnextyear#Coachella2015#Coachella,Coachellaticketsarenowsoldout__&amp;Ihadtheopportunitytohaveboughtthem.I'mdefinitelygoingnextyear#Coachella2015#Coachella,coachellaticketsarenowsoldout__&amp;ihadtheopportunitytohaveboughtthem.i'mdefinitelygoingnextyear#coachella2015#coachella,coachellaticketsarenowsoldout__&amp;ihadtheopportunitytohaveboughtthem.i'mdefinitelygoingnextyear#coachella2015#coachella,coachellaticketsarenowsoldout__&amp;ihadtheopportunitytohaveboughtthem.i'mdefinitelygoingnextyear#coachella#coachella,coachellaticketsarenowsoldoutampihadtheopportunitytohaveboughtthemimdefinitelygoingnextyearcoachellacoachella
positive,yes,OlgaKhmylev,0,#Coachella2015 I absolutely can NOT wait. This weekend is about to exceed EPIC EXPECTATIONS!!! :) Lineup is CRAZY!  http://t.co/7CQXKCprLH,,1/7/15 14:57,5.52962e+17,Buffalo//Moscow//Boston ,Eastern Time (US & Canada),['#Coachella2015'],[],#Coachella2015IabsolutelycanNOTwait.ThisweekendisabouttoexceedEPICEXPECTATIONS!!!:)LineupisCRAZY!http://t.co/7CQXKCprLH,#Coachella2015IabsolutelycanNOTwait.ThisweekendisabouttoexceedEPICEXPECTATIONS!!!:)LineupisCRAZY!,#Coachella2015IabsolutelycanNOTwait.ThisweekendisabouttoexceedEPICEXPECTATIONS!!!:)LineupisCRAZY!,#coachella2015iabsolutelycannotwait.thisweekendisabouttoexceedepicexpectations!!!:)lineupiscrazy!,#coachella2015iabsolutelycannotwait.thisweekendisabouttoexceedepicexpectations!!!:)lineupiscrazy!,#coachellaiabsolutelycannotwait.thisweekendisabouttoexceedepicexpectations!!!:)lineupiscrazy!,coachellaiabsolutelycannotwaitthisweekendisabouttoexceedepicexpectationslineupiscrazy
positive,yes,Ben_BigB_Davies,0,If someone got me to Coachella if be your friend for life #truth #desprate #Coachella2015 #Coachella http://t.co/MMDkTMOZfW,,1/7/15 14:54,5.52962e+17,The mighty bridgend !,,"['#truth', '#desprate', '#Coachella2015', '#Coachella']",[],IfsomeonegotmetoCoachellaifbeyourfriendforlife#truth#desprate#Coachella2015#Coachellahttp://t.co/MMDkTMOZfW,IfsomeonegotmetoCoachellaifbeyourfriendforlife#truth#desprate#Coachella2015#Coachella,IfsomeonegotmetoCoachellaifbeyourfriendforlife#truth#desprate#Coachella2015#Coachella,ifsomeonegotmetocoachellaifbeyourfriendforlife#truth#desprate#coachella2015#coachella,ifsomeonegotmetocoachellaifbeyourfriendforlife#truth#desprate#coachella2015#coachella,ifsomeonegotmetocoachellaifbeyourfriendforlife#truth#desprate#coachella#coachella,ifsomeonegotmetocoachellaifbeyourfriendforlifetruthdespratecoachellacoachella
positive,yes,brevamo,83,RT @brownjenjen:  Õ http://t.co/mxCREvIlGP 712 Coachella 2015  Coachella 2015 makes space for rockers and ravers this year #Coachella2015 OhÛ_,,1/7/15 14:50,5.52961e+17,Utah,Pacific Time (US & Canada),['#Coachella2015'],[],RT:Õhttp://t.co/mxCREvIlGP712Coachella2015Coachella2015makesspaceforrockersandraversthisyear#Coachella2015OhÛ_,RT:Õ,RT:,rt:,rt:,rt:,rt
